filename,zip_source,path_in_zip,dataset_source,in_previous_dataset,original_class,canonical_class,display_name,crop,disease,healthy,group_id,split
023123cb-7b69-4c9f-a521-766d7c8543bb___FREC_Scab 3487_270deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/023123cb-7b69-4c9f-a521-766d7c8543bb___FREC_Scab 3487_270deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,023123cb-7b69-4c9f-a521-766d7c8543bb,train
023123cb-7b69-4c9f-a521-766d7c8543bb___FREC_Scab 3487_new30degFlipLR.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/023123cb-7b69-4c9f-a521-766d7c8543bb___FREC_Scab 3487_new30degFlipLR.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,023123cb-7b69-4c9f-a521-766d7c8543bb,train
023123cb-7b69-4c9f-a521-766d7c8543bb___FREC_Scab 3487.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/valid/Apple___Apple_scab/023123cb-7b69-4c9f-a521-766d7c8543bb___FREC_Scab 3487.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,023123cb-7b69-4c9f-a521-766d7c8543bb,train
023123cb-7b69-4c9f-a521-766d7c8543bb___FREC_Scab 3487_90deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/valid/Apple___Apple_scab/023123cb-7b69-4c9f-a521-766d7c8543bb___FREC_Scab 3487_90deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,023123cb-7b69-4c9f-a521-766d7c8543bb,train
0261a6e4-21f8-481a-8827-b674e6955644___FREC_Scab 3055_270deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/0261a6e4-21f8-481a-8827-b674e6955644___FREC_Scab 3055_270deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0261a6e4-21f8-481a-8827-b674e6955644,train
0261a6e4-21f8-481a-8827-b674e6955644___FREC_Scab 3055_90deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/0261a6e4-21f8-481a-8827-b674e6955644___FREC_Scab 3055_90deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0261a6e4-21f8-481a-8827-b674e6955644,train
0261a6e4-21f8-481a-8827-b674e6955644___FREC_Scab 3055.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/valid/Apple___Apple_scab/0261a6e4-21f8-481a-8827-b674e6955644___FREC_Scab 3055.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0261a6e4-21f8-481a-8827-b674e6955644,train
0261a6e4-21f8-481a-8827-b674e6955644___FREC_Scab 3055_new30degFlipLR.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/valid/Apple___Apple_scab/0261a6e4-21f8-481a-8827-b674e6955644___FREC_Scab 3055_new30degFlipLR.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0261a6e4-21f8-481a-8827-b674e6955644,train
029424b0-0ef5-491b-9ef5-069190d24d8f___FREC_Scab 3504.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/029424b0-0ef5-491b-9ef5-069190d24d8f___FREC_Scab 3504.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,029424b0-0ef5-491b-9ef5-069190d24d8f,test
029424b0-0ef5-491b-9ef5-069190d24d8f___FREC_Scab 3504_270deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/029424b0-0ef5-491b-9ef5-069190d24d8f___FREC_Scab 3504_270deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,029424b0-0ef5-491b-9ef5-069190d24d8f,test
029424b0-0ef5-491b-9ef5-069190d24d8f___FREC_Scab 3504_90deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/029424b0-0ef5-491b-9ef5-069190d24d8f___FREC_Scab 3504_90deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,029424b0-0ef5-491b-9ef5-069190d24d8f,test
029424b0-0ef5-491b-9ef5-069190d24d8f___FREC_Scab 3504_new30degFlipLR.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/029424b0-0ef5-491b-9ef5-069190d24d8f___FREC_Scab 3504_new30degFlipLR.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,029424b0-0ef5-491b-9ef5-069190d24d8f,test
03354abb-aa1c-4f9d-a1ef-9f40505cd539___FREC_Scab 3355_270deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/03354abb-aa1c-4f9d-a1ef-9f40505cd539___FREC_Scab 3355_270deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,03354abb-aa1c-4f9d-a1ef-9f40505cd539,train
03354abb-aa1c-4f9d-a1ef-9f40505cd539___FREC_Scab 3355_90deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/03354abb-aa1c-4f9d-a1ef-9f40505cd539___FREC_Scab 3355_90deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,03354abb-aa1c-4f9d-a1ef-9f40505cd539,train
03354abb-aa1c-4f9d-a1ef-9f40505cd539___FREC_Scab 3355_new30degFlipLR.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/03354abb-aa1c-4f9d-a1ef-9f40505cd539___FREC_Scab 3355_new30degFlipLR.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,03354abb-aa1c-4f9d-a1ef-9f40505cd539,train
03354abb-aa1c-4f9d-a1ef-9f40505cd539___FREC_Scab 3355.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/valid/Apple___Apple_scab/03354abb-aa1c-4f9d-a1ef-9f40505cd539___FREC_Scab 3355.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,03354abb-aa1c-4f9d-a1ef-9f40505cd539,train
0340dc35-5215-48ab-8db7-06af99fcb358___FREC_Scab 2966.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/0340dc35-5215-48ab-8db7-06af99fcb358___FREC_Scab 2966.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0340dc35-5215-48ab-8db7-06af99fcb358,train
0340dc35-5215-48ab-8db7-06af99fcb358___FREC_Scab 2966_270deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/0340dc35-5215-48ab-8db7-06af99fcb358___FREC_Scab 2966_270deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0340dc35-5215-48ab-8db7-06af99fcb358,train
0340dc35-5215-48ab-8db7-06af99fcb358___FREC_Scab 2966_new30degFlipLR.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/0340dc35-5215-48ab-8db7-06af99fcb358___FREC_Scab 2966_new30degFlipLR.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0340dc35-5215-48ab-8db7-06af99fcb358,train
0340dc35-5215-48ab-8db7-06af99fcb358___FREC_Scab 2966_90deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/valid/Apple___Apple_scab/0340dc35-5215-48ab-8db7-06af99fcb358___FREC_Scab 2966_90deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0340dc35-5215-48ab-8db7-06af99fcb358,train
0395b847-2c73-4674-826f-33a6afb5b4fe___FREC_Scab 3287.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/0395b847-2c73-4674-826f-33a6afb5b4fe___FREC_Scab 3287.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0395b847-2c73-4674-826f-33a6afb5b4fe,val
0395b847-2c73-4674-826f-33a6afb5b4fe___FREC_Scab 3287_270deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/0395b847-2c73-4674-826f-33a6afb5b4fe___FREC_Scab 3287_270deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0395b847-2c73-4674-826f-33a6afb5b4fe,val
0395b847-2c73-4674-826f-33a6afb5b4fe___FREC_Scab 3287_90deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/0395b847-2c73-4674-826f-33a6afb5b4fe___FREC_Scab 3287_90deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0395b847-2c73-4674-826f-33a6afb5b4fe,val
0395b847-2c73-4674-826f-33a6afb5b4fe___FREC_Scab 3287_new30degFlipLR.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/valid/Apple___Apple_scab/0395b847-2c73-4674-826f-33a6afb5b4fe___FREC_Scab 3287_new30degFlipLR.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0395b847-2c73-4674-826f-33a6afb5b4fe,val
03eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/03eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,03eccb1a-0368-4ac7-9f48-7546037b775a,train
03eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334_270deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/03eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334_270deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,03eccb1a-0368-4ac7-9f48-7546037b775a,train
03eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334_90deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/03eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334_90deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,03eccb1a-0368-4ac7-9f48-7546037b775a,train
03eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334_new30degFlipLR.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/03eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334_new30degFlipLR.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,03eccb1a-0368-4ac7-9f48-7546037b775a,train
0537ad56-3d24-4e97-a947-65b9b37f8988___FREC_Scab 3079_270deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/0537ad56-3d24-4e97-a947-65b9b37f8988___FREC_Scab 3079_270deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0537ad56-3d24-4e97-a947-65b9b37f8988,val
0537ad56-3d24-4e97-a947-65b9b37f8988___FREC_Scab 3079_90deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/0537ad56-3d24-4e97-a947-65b9b37f8988___FREC_Scab 3079_90deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0537ad56-3d24-4e97-a947-65b9b37f8988,val
0537ad56-3d24-4e97-a947-65b9b37f8988___FREC_Scab 3079_new30degFlipLR.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/0537ad56-3d24-4e97-a947-65b9b37f8988___FREC_Scab 3079_new30degFlipLR.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0537ad56-3d24-4e97-a947-65b9b37f8988,val
0537ad56-3d24-4e97-a947-65b9b37f8988___FREC_Scab 3079.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/valid/Apple___Apple_scab/0537ad56-3d24-4e97-a947-65b9b37f8988___FREC_Scab 3079.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0537ad56-3d24-4e97-a947-65b9b37f8988,val
058d5e64-2c57-45ba-94cb-ac83fd1885a0___FREC_Scab 3181.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/058d5e64-2c57-45ba-94cb-ac83fd1885a0___FREC_Scab 3181.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,058d5e64-2c57-45ba-94cb-ac83fd1885a0,train
058d5e64-2c57-45ba-94cb-ac83fd1885a0___FREC_Scab 3181_90deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/058d5e64-2c57-45ba-94cb-ac83fd1885a0___FREC_Scab 3181_90deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,058d5e64-2c57-45ba-94cb-ac83fd1885a0,train
058d5e64-2c57-45ba-94cb-ac83fd1885a0___FREC_Scab 3181_new30degFlipLR.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/058d5e64-2c57-45ba-94cb-ac83fd1885a0___FREC_Scab 3181_new30degFlipLR.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,058d5e64-2c57-45ba-94cb-ac83fd1885a0,train
058d5e64-2c57-45ba-94cb-ac83fd1885a0___FREC_Scab 3181_270deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/valid/Apple___Apple_scab/058d5e64-2c57-45ba-94cb-ac83fd1885a0___FREC_Scab 3181_270deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,058d5e64-2c57-45ba-94cb-ac83fd1885a0,train
0631708e-5bac-4611-8ff9-6d5ee87ce3b3___FREC_Scab 3252.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/0631708e-5bac-4611-8ff9-6d5ee87ce3b3___FREC_Scab 3252.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0631708e-5bac-4611-8ff9-6d5ee87ce3b3,train
0631708e-5bac-4611-8ff9-6d5ee87ce3b3___FREC_Scab 3252_270deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/0631708e-5bac-4611-8ff9-6d5ee87ce3b3___FREC_Scab 3252_270deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0631708e-5bac-4611-8ff9-6d5ee87ce3b3,train
0631708e-5bac-4611-8ff9-6d5ee87ce3b3___FREC_Scab 3252_90deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/0631708e-5bac-4611-8ff9-6d5ee87ce3b3___FREC_Scab 3252_90deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0631708e-5bac-4611-8ff9-6d5ee87ce3b3,train
0631708e-5bac-4611-8ff9-6d5ee87ce3b3___FREC_Scab 3252_new30degFlipLR.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/0631708e-5bac-4611-8ff9-6d5ee87ce3b3___FREC_Scab 3252_new30degFlipLR.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0631708e-5bac-4611-8ff9-6d5ee87ce3b3,train
0672ab32-9fce-41f3-ae69-e39c48a0a292___FREC_Scab 3347.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/0672ab32-9fce-41f3-ae69-e39c48a0a292___FREC_Scab 3347.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0672ab32-9fce-41f3-ae69-e39c48a0a292,train
0672ab32-9fce-41f3-ae69-e39c48a0a292___FREC_Scab 3347_270deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/0672ab32-9fce-41f3-ae69-e39c48a0a292___FREC_Scab 3347_270deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0672ab32-9fce-41f3-ae69-e39c48a0a292,train
0672ab32-9fce-41f3-ae69-e39c48a0a292___FREC_Scab 3347_90deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/0672ab32-9fce-41f3-ae69-e39c48a0a292___FREC_Scab 3347_90deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0672ab32-9fce-41f3-ae69-e39c48a0a292,train
0672ab32-9fce-41f3-ae69-e39c48a0a292___FREC_Scab 3347_new30degFlipLR.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/0672ab32-9fce-41f3-ae69-e39c48a0a292___FREC_Scab 3347_new30degFlipLR.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0672ab32-9fce-41f3-ae69-e39c48a0a292,train
